,source_id,nombre,inicial,apellidos,especialidad,telefono #1,telefono #2,direccion,pueblo,estado,actualizacion
1295,001,ANNABELLE,,RODRIGUEZ  LLAUGER,PSIQUIATRIA,787-735-0290,,CALLE SARGENTO GERALDO SANTIAGOCARRETERA #14 INTERIOR15,AIBONITO,PUERTO RICO,01/28/2024
1296,001,ANNABELLE,,RODRIGUEZ  LLAUGER,PSIQUIATRIA,787-434-1700,,CARR 1 PLAZA CAYEYMONTE LLANOS,CAYEY,PUERTO RICO,01/28/2024
1297,001,MARILYN,,RODRIGUEZ  GONZALEZ,PSICOLOGIA CLINICA,787-201-1971,,COBIANS PLAZA BUILDING1607 AVE PONCE DE LEON STE 410,SAN JUAN,PUERTO RICO,01/28/2024
1298,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-641-9133,,APS CLINICSPLAZA DEL MAR CARR 107 KM 2 3,AGUADILLA,PUERTO RICO,01/28/2024
1299,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-399-3729,,CARIBBEAN MHG LLC45 CALLE LIC E RAMIREZ MOLL,ISABELA,PUERTO RICO,01/28/2024
1300,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-641-9133,,AVE JOSE DE DIEGO #108,ARECIBO,PUERTO RICO,01/28/2024
1301,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-641-9133,,PR 111 INT PR 110 KM 14 5MOCA PROFESSIONAL PLAZA,MOCA,PUERTO RICO,01/28/2024
1302,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-641-9133,,CDT CESAR ROSA FEBLES EDIFICIO ANEJOPISO2 SR 2 KM 50,MANATI,PUERTO RICO,01/28/2024
1303,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-641-9133,,CARR 867 KM 2 2 BO SABANA SECA,TOA BAJA,PUERTO RICO,01/28/2024
1304,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-641-9133,,CARR 3 KM 135 1 LOCAL 9 I 10 GALERIA PLAZA,GUAYAMA,PUERTO RICO,01/28/2024
1305,001,HECTOR,R,CABAN VEGA,PSIQUIATRIA DE NINOS Y ADOLESCENTES,787-399-3729,,#222 CALLE MARINA,AGUADA,PUERTO RICO,01/28/2024
1306,001,ZAIDA,,MEDINA  LOPEZ,TRABAJO SOCIAL   CLINICO,787-641-9133,,APS CLINICSEDIF ANGORA,CAGUAS,PUERTO RICO,01/28/2024
1307,001,ALESSANDRA,C,NEGRON SIMONETTI,PSICOLOGIA CLINICA,787-599-8200,,COND LAS TORRES SUR,BAYAMON,PUERTO RICO,01/28/2024
1308,001,DORCAS,Y,CID CUEVAS,MEDICINA GENERAL,787-641-9133,,PLAZA MALL HUMACAO CARR #3 KM 82 BO RIO ABAJO,HUMACAO,PUERTO RICO,01/28/2024
1309,001,DORCAS,Y,CID CUEVAS,MEDICINA GENERAL,787-641-9133,,APS CLINICSBERRIOS SHOPPING COURT CARR 172 RAMAL 787,CIDRA,PUERTO RICO,01/28/2024
1310,001,HPM,,FOUNDATION INC,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-268-2966,,44 CALLE PEDRO MARQUEZ,CULEBRA,PUERTO RICO,01/28/2024
1311,001,HPM,,FOUNDATION INC,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-468-2000,,65 INFANTERIA 171,VIEQUES,PUERTO RICO,01/28/2024
1312,001,ADALIZ,A,TORRES ALBELO,MEDICINA GENERAL,787-641-9133,,APS CLINICSMERCADO PLAZA PR 152 KM 14 6,NARANJITO,PUERTO RICO,01/28/2024
1313,001,BARBARA,,PINTADO  COLON,PSICOLOGIA CLINICA,787-231-0455,,CALLE 25 DE JULIO35 PROLONGACION ALTOS,YAUCO,PUERTO RICO,01/28/2024
1314,001,JAISSELLE,M,VEGA ROSALY,PSICOLOGIA CLINICA,787-988-0419,,1123 AVE HOSTOS,PONCE,PUERTO RICO,01/28/2024
1315,001,A,P,COMMUNITY MENTAL SERVICES CORP,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-733-6699,,CARR 198 KM 22 0 BO MONTONES I,LAS PIEDRAS,PUERTO RICO,01/28/2024
1316,001,INSPIRA,,BEHAVIORAL CARE CORP BAYAMON,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-704-0705,,CARR 2 KM 11 80EDIFICIO CENTURION PISO 3,BAYAMON,PUERTO RICO,01/28/2024
1317,001,INSPIRA,,BEHAVIORAL CARE CORP CAGUAS,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-704-0705,,AVE GAUTIER BENITEZ 202CONCOLIDATED MALL ANEXO LOCAL B5,CAGUAS,PUERTO RICO,01/28/2024
1318,001,INSPIRA,,BEHAVIORAL CARE CORP HOSTOS,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-704-0705,,435 AVE HOSTOS,SAN JUAN,PUERTO RICO,01/28/2024
1319,001,INSPIRA,,BEHAVIORAL CARE CORP AUXILIO,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-704-0705,,TORRE DE AUXILIO MUTUOOFICINA 410,SAN JUAN,PUERTO RICO,01/28/2024
1320,001,OLGA,,CRUZ  ROMAN,PSICOLOGIA CLINICA,939-247-3843,,URB ATENASCALLE ELLIOT VELEZ J17,MANATI,PUERTO RICO,01/28/2024
1321,001,CHRISTIAN,D,FALCON RIJOS,MEDICINA GENERAL,787-641-9133,,PLAZA TROPICAL CARR 167 FOREST HILLS,BAYAMON,PUERTO RICO,01/28/2024
1322,001,JOSE,A,BERRIOS HERNANDEZ,TRABAJO SOCIAL   CLINICO,787-641-9133,,PLAZA TROPICAL CARR 167 FOREST HILLS,BAYAMON,PUERTO RICO,01/28/2024
1323,001,JOSE,A,BERRIOS HERNANDEZ,TRABAJO SOCIAL   CLINICO,787-641-9133,,CARR 867 KM 2 2 BO SABANA SECA,TOA BAJA,PUERTO RICO,01/28/2024
1324,001,NIKOLE,,DELGADO  ROSARIO,PSICOLOGIA CLINICA,787-641-9133,,CARR 3 KM 135 1 LOCAL 9 I 10 GALERIA PLAZA,GUAYAMA,PUERTO RICO,01/28/2024
1325,001,NIKOLE,,DELGADO  ROSARIO,PSICOLOGIA CLINICA,787-641-9133,,PLAZA MALL HUMACAO CARR #3 KM 82 BO RIO ABAJO,HUMACAO,PUERTO RICO,01/28/2024
1326,001,DANIEL,,SERRANO  GONZALEZ,PSICOLOGIA CLINICA,787-908-2412,,2301 CARR 2 SUITE 215,BARCELONETA,PUERTO RICO,01/28/2024
1327,001,TERAPIAS,,INTERDISCIPLINARIAS DE EXCELENCIA EN SERVICIO,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-203-2186,,CARR 111 KM 1 2BO PUEBLO INT 436,LARES,PUERTO RICO,01/28/2024
1328,001,DARITZA,,VELEZ  PEREZ,PSICOLOGIA CLINICA,787-203-2186,,CARR 111 KM 1 2BO PUEBLO INT 436,LARES,PUERTO RICO,01/28/2024
1329,001,IRIS,J,FUSTER TAFFANELLI,PSICOLOGIA,787-603-0459,,URB SANTA RITA56 CALLE BORINQUENA,SAN JUAN,PUERTO RICO,01/28/2024
1330,001,KAREN,Z,QUINONES SANCHEZ,PSICOLOGIA,787-528-8175,,TORRE MEDICA SAN PABLO DEL ESTE404 AVE GENERAL VALERO PISO 5 OFIC 504,FAJARDO,PUERTO RICO,01/28/2024
1331,001,MARIE,,TORRES  VALENTIN,PSICOLOGIA CLINICA,787-920-4899,,CALLE PARANA 1651PARADISE HILLS LOCAL D,SAN JUAN,PUERTO RICO,01/28/2024
1332,001,GUILLERMO,,VILLEGAS  GONZALEZ,ENFEREMERA GRADUADA,787-641-9133,,EDIFICIO VIG TOWER PISO 1 AVE PONCE DE LEON #1225,SAN JUAN,PUERTO RICO,01/28/2024
1333,001,MARRILIZ,,SERRANO  MENDEZ,ENFEREMERA GRADUADA,787-641-9133,,APS CLINICSPLAZA DEL MAR CARR 107 KM 2 3,AGUADILLA,PUERTO RICO,01/28/2024
1334,001,LORELL,,PEREZ  GALINDO,TRABAJO SOCIAL   CLINICO,787-641-9133,,APS CLINICSBERRIOS SHOPPING CENTER CARR 132,CIDRA,PUERTO RICO,01/28/2024
1335,001,CENTRO,,PRAY THE LORD,FACILIDAD AMBULATORIA DE SALUD MENTAL,787-477-7711,,CARR #3 KM 11 6BARRIO MARTIN GONZALEZ,CAROLINA,PUERTO RICO,01/28/2024
1336,001,ERIKA,,VIERA  FONSECA,PSICOLOGIA CLINICA,787-270-1420,,CLINICA PSIQUIATRICA Y PSICOLOGICA FELICITA RAMOSBO SABANA CARR 693 KM 13 8,VEGA ALTA,PUERTO RICO,01/28/2024
1337,001,ERIKA,,VIERA  FONSECA,PSICOLOGIA CLINICA,787-641-9133,,APS CLINICSMERCADO PLAZA BO CEDRO ABAJO,NARANJITO,PUERTO RICO,01/28/2024
1338,001,MIGUEL,A,NIEVES RIVERA,PSICOLOGIA CLINICA,787-641-9133,,PLAZA MALL HUMACAO CARR #3 KM 82 BO RIO ABAJO,HUMACAO,PUERTO RICO,01/28/2024
1339,001,KAREN,,MONTALVO SEPULVEDA,OPTOMETRIA,787-625-9144,,130 MARGINAL MARTINEZ NADALLOS JARDINES SHOPPING CENTER,GUAYNABO,PUERTO RICO,01/28/2024
1340,001,KAREN,,MONTALVO SEPULVEDA,OPTOMETRIA,787-782-2175,,AVE J T PINERO 1900ALTAMIRA XTRA SHOPPING CTR,SAN JUAN,PUERTO RICO,01/28/2024
1341,001,KAREN,,MONTALVO SEPULVEDA,OPTOMETRIA,787-883-4646,,CENTRO GRAN CARIBE MALLCARR #2 STE 10,VEGA ALTA,PUERTO RICO,01/28/2024
1342,001,KAREN,,MONTALVO SEPULVEDA,OPTOMETRIA,787-980-8008,,DORAMAR PLAZACARR 693 B275 LOCAL#5,DORADO,PUERTO RICO,01/28/2024
1343,001,KAREN,,MONTALVO SEPULVEDA,OPTOMETRIA,787-287-6700,,MONTEHIEDRA SHOPPING CENTERAVE LOS ROMEROS LOCAL 1112,SAN JUAN,PUERTO RICO,01/28/2024
1344,001,GINALETTE,,TALAVERA RODRIGUEZ,OPTOMETRIA,787-589-7468,,CARR 115 KM 24 6BO ASOMANTE,AGUADA,PUERTO RICO,01/28/2024
1345,001,FARZAD,,KHAZRAEE,OPTOMETRIA,787-544-7799,,AVE LOS DOMINICOS RH 2 STE 2URB LA ROSALEDA LEVITTOWN,TOA BAJA,PUERTO RICO,01/28/2024
1346,001,FARZAD,,KHAZRAEE,OPTOMETRIA,787-544-7799,,AVE LOS DOMINICOS RH 2 STE 2URB LA ROSALEDA LEVITTOWN,TOA BAJA,PUERTO RICO,01/28/2024
1347,001,FARZAD,,KHAZRAEE,OPTOMETRIA,787-589-8334,,PLAZA ISABELA LOCAL 2653535 AVE MILITAR,ISABELA,PUERTO RICO,01/28/2024
1348,001,CAYEY,,VISUAL CENTER,OPTICA,787-263-1335,,5001 AVE JESUS T PINEROSUITE 130,CAYEY,PUERTO RICO,01/28/2024
1349,001,FERNANDO,,ROSARIO LEON,OPTOMETRIA,787-892-3450,,AVE CASTO PEREZ #321,SAN GERMAN,PUERTO RICO,01/28/2024
1350,001,FERNANDO,,ROSARIO LEON,OPTOMETRIA,787-864-6884,,PLAZA GUAYAMA MALL #48SUITE R D 3 KM 1 34 6,GUAYAMA,PUERTO RICO,01/28/2024
1351,001,FERNANDO,,ROSARIO LEON,OPTOMETRIA,787-856-8388,,YAUCO PLAZA 1 LOCAL # 109,YAUCO,PUERTO RICO,01/28/2024
1352,001,FERNANDO,,ROSARIO LEON,OPTOMETRIA,787-267-6042,,YAUCO PLAZA 2 # 623,YAUCO,PUERTO RICO,01/28/2024
1353,001,ROSALEEN,,BOBONIS QUILES,OPTOMETRIA,787-995-2450,,P60 AVE SANTA JUANITAURB SANTA JUANITA,BAYAMON,PUERTO RICO,01/28/2024
1354,001,ROSALEEN,,BOBONIS QUILES,OPTOMETRIA,787-248-1222,,W 16 CALLE BLVD MONROIGLEVITTOWN,TOA BAJA,PUERTO RICO,01/28/2024
1355,001,OPTOMETRAS,,DARLINGTON,OPTICA,787-767-7973,,1007 AVE MUNOZ RIVERASTE 7,SAN JUAN,PUERTO RICO,01/28/2024
1356,001,INTERAMERICAN,,UNIVERSITY OF PR,OPTICA,787-765-1915,,500 CARR JOHN WILL HARRIS,BAYAMON,PUERTO RICO,01/28/2024
1357,001,INTERAMERICAN,,UNIVERSITY OF PR,OPTICA,787-739-8182,,AVE EL JIBAROCARR 172 KM 13 5,CIDRA,PUERTO RICO,01/28/2024
1358,001,INTERAMERICAN,,UNIVERSITY OF PR,OPTICA,787-746-6555,,CALLE RAFAEL CORDERO FINAL,CAGUAS,PUERTO RICO,01/28/2024
1359,001,INTERAMERICAN,,UNIVERSITY OF PR,OPTICA,787-837-2225,,CENTRO SAN CRISTOBALCALLE LA CRUZ # 6,JUANA DIAZ,PUERTO RICO,01/28/2024
1360,001,INTERAMERICAN,,UNIVERSITY OF PR,OPTICA,787-977-9542,,METRO CLINICA HOARECALLE HOARE # 900,SANTURCE,PUERTO RICO,01/28/2024
1361,001,BLANCA,,PEREZ TOSSAS,OPTOMETRIA,787-287-0353,,JARDINES REALES SHOPPING CTRCARR 199 FINAL AVE LAS CUMBRES,GUAYNABO,PUERTO RICO,01/28/2024
1362,001,CARMEN,,BENABE GARCIA,OPTOMETRIA,939-599-1577,,12 30 BOULEVARD DRIVELOCAL C,BAYAMON,PUERTO RICO,01/28/2024
1363,001,LENS,,VISION,OPTICA,787-855-1414,,CARR PR 2 KM 42 3BO ALGARROBO,VEGA BAJA,PUERTO RICO,01/28/2024
1364,001,LENS,,VISION,OPTICA,787-883-1414,,CENTRO GRAN CARIBESUITE 125,VEGA ALTA,PUERTO RICO,01/28/2024
1365,001,LENS,,VISION,OPTICA,787-755-1414,,GALERIA PASEOS MALL STE 116AVENIDA LAS CUMBRES,SAN JUAN,PUERTO RICO,01/28/2024
1366,001,ABC,,OPTIKA,OPTICA,939-204-0852,,974Z CALLE BAUHINIAURB LOIZA VALLEY,CANOVANAS,PUERTO RICO,01/28/2024
1367,001,C,,EYE OPTICAL,OPTICA,787-651-6001,,SANTA MARIA MEDICAL BLDG450 CALLE FERROCARRIL STE 102,PONCE,PUERTO RICO,01/28/2024
1368,001,MARIA,,ANCA VELEZ,OPTOMETRIA,787-782-6664,,201 AVE DE DIEGOSUITE 40,SAN JUAN,PUERTO RICO,01/28/2024
1369,001,ISIS,,FINE VISION SERVICES INC,OPTICA,787-750-1670,,AVE FRAGOSO ESQ VIA 593FSI VILLA FONTANA,CAROLINA,PUERTO RICO,01/28/2024
1370,001,NEW,,EYES OPTICAL CENTER,OPTICA,787-863-6110,,PLAZA FAJARDO 194INT CARR 940 KM 147,FAJARDO,PUERTO RICO,01/28/2024
1371,001,CLINICA,,VISUAL DEL OESTE,OPTICA,787-891-4400,,154 AVE PEDRO ALBIZU CAMPOS,AGUADILLA,PUERTO RICO,01/28/2024
1372,001,JANET,,RODRIGUEZ BARBOSA,OPTOMETRIA,787-873-3445,,CALLE ANGEL GREGORIO MARTINEZ#37,SABANA GRANDE,PUERTO RICO,01/28/2024
1373,001,JANET,,RODRIGUEZ BARBOSA,OPTOMETRIA,787-873-3445,,CALLE ANGEL GREGORIO MARTINEZ#37,SABANA GRANDE,PUERTO RICO,01/28/2024
1374,001,RAMON,,ARMAIZ GUZMAN,OPTOMETRIA,787-807-5858,,URB MONTE CARLO122 CALLE MARGINAL SUITE 3,VEGA BAJA,PUERTO RICO,01/28/2024
1375,001,GLASSES,,OPTICAL,OPTICA,787-842-7033,,2939 AVE EMILIO FAGOTSUITE 2,PONCE,PUERTO RICO,01/28/2024
1376,001,20/20,,OPTICAL JEIRA  INC,OPTICA,787-230-8853,,# 22 CALLE CELIS AGUILERA,SANTA ISABEL,PUERTO RICO,01/28/2024
1377,001,OPTICA,,BUENA,OPTICA,787-837-9608,,CALLE COMERCIO # 56,JUANA DIAZ,PUERTO RICO,01/28/2024
1378,001,ANDRES,,RIVERA PACHECO,OPTOMETRIA,787-820-4622,,CALLE IGUINA #3,CAMUY,PUERTO RICO,01/28/2024
1379,001,ANDRES,,RIVERA PACHECO,OPTOMETRIA,787-820-4622,,CALLE IGUINA #3,CAMUY,PUERTO RICO,01/28/2024
1380,001,VICTOR,,PAGAN LOPEZ,OPTOMETRIA,787-844-0903,,4990 CANDIDO HOYOSSUITE # 32 PONCE MALL,PONCE,PUERTO RICO,01/28/2024
1381,001,VICTOR,,PAGAN LOPEZ,OPTOMETRIA,787-844-6000,,GALERIAS PONCENASCALLE UNION #83 STE 129,PONCE,PUERTO RICO,01/28/2024
1382,001,VICTOR,,PAGAN LOPEZ,OPTOMETRIA,787-260-2588,,PLAZA JUANA DIAZCARR 149 LOCAL #6,JUANA DIAZ,PUERTO RICO,01/28/2024
1383,001,VICTOR,,PAGAN LOPEZ,OPTOMETRIA,787-836-5875,,PLAZA PENUELASCARR 385 KM 0 7 BO CUEBAS,PENUELAS,PUERTO RICO,01/28/2024
1384,001,UNIQUE,,OPTICAL BAYAMON,OPTICA,787-515-5858,,CENTRO COMERCIAL ROYAL GARDENSCARR 167 KM 18 7 LOCAL #8,BAYAMON,PUERTO RICO,01/28/2024
1385,001,RITA,,PAGAN SILVA,OPTOMETRIA,787-892-3450,,AVE CASTO PEREZ #321,SAN GERMAN,PUERTO RICO,01/28/2024
1386,001,RITA,,PAGAN SILVA,OPTOMETRIA,787-864-6884,,PLAZA GUAYAMA MALL #48SUITE R D 3 KM 1 34 6,GUAYAMA,PUERTO RICO,01/28/2024
1387,001,RITA,,PAGAN SILVA,OPTOMETRIA,787-856-8388,,YAUCO PLAZA 1 LOCAL # 109,YAUCO,PUERTO RICO,01/28/2024
1388,001,RITA,,PAGAN SILVA,OPTOMETRIA,787-267-6042,,YAUCO PLAZA 2 # 623,YAUCO,PUERTO RICO,01/28/2024
1389,001,EDISON,,MARIN SERRA,OPTOMETRIA,787-276-3435,,5829 AVE 65 INFANTERIASUITE 105,CAROLINA,PUERTO RICO,01/28/2024
1390,001,EDISON,,MARIN SERRA,OPTOMETRIA,787-796-7373,,800 CARR 693SUITE 4,DORADO,PUERTO RICO,01/28/2024
1391,001,OPTOMETRY,,MASTER C S P,OPTICA,787-283-7080,,PLAZA CUPEY GARDENS200 AVE CUPEY GARDENS STE 2W,SAN JUAN,PUERTO RICO,01/28/2024
1392,001,BRAND,,OPTICS OUTLET  INC,OPTICA,787-262-0777,,142 AVE PABLO J AGUILARSUITE #2,HATILLO,PUERTO RICO,01/28/2024
1393,001,BRAND,,OPTICS OUTLET  INC,OPTICA,787-942-7676,,CARR 129 BARRIO CAMPO ALEGRE,ARECIBO,PUERTO RICO,01/28/2024
1394,001,EYE,,ZONE  CSP,OPTICA,787-896-7041,,SAN SEBASTIAN SHOPPING CENTER4199 AVE A ESTRADA STE 283,SAN SEBASTIAN,PUERTO RICO,01/28/2024
1395,001,PRO,,VISTA,OPTICA,787-886-8066,,185 ROAD KM 5 0BO CAMPO RICO,CANOVANAS,PUERTO RICO,01/28/2024
1396,001,JMH,,EYE CARE,OPTICA,787-369-6591,,4246 CARR # 2 KM 43 0,VEGA BAJA,PUERTO RICO,01/28/2024
1397,001,MARIA,,FLORES BONES,OPTOMETRIA,787-866-2196,,PLAZA GUAYAMA2B PRIMER NIVEL,GUAYAMA,PUERTO RICO,01/28/2024
1398,001,CARMELO,,RIVERA RIVERA,OPTOMETRIA,787-858-1695,,412 AVE TRIO VEGABAJENOLOCAL # 2,VEGA BAJA,PUERTO RICO,01/28/2024
1399,001,CARMELO,,RIVERA RIVERA,OPTOMETRIA,787-780-3969,,CARR 167 2A 28 CALLE # 36URB RIVERVIEW,BAYAMON,PUERTO RICO,01/28/2024
1400,001,CARMELO,,RIVERA RIVERA,OPTOMETRIA,787-816-7396,,CARR 651 KM 2 4SECTOR JUNCOS,ARECIBO,PUERTO RICO,01/28/2024
1401,001,CARMELO,,RIVERA RIVERA,OPTOMETRIA,787-820-3322,,LA CEIBA SHOPPING VILLAGELOCAL # 5 CARR # 2 INT 130,HATILLO,PUERTO RICO,01/28/2024
1402,001,ADIANNETTE,,GONZALEZ RODRIGUEZ,OPTOMETRIA,787-897-2727,,CARR 111 KM 1 9AVE LOS PATRIOTAS,LARES,PUERTO RICO,01/28/2024
1403,001,ADIANNETTE,,GONZALEZ RODRIGUEZ,OPTOMETRIA,787-243-2789,,CARR 140 KM 68 5CALLE GEORGETTI,BARCELONETA,PUERTO RICO,01/28/2024
1404,001,CENTRO,,VISUAL MOROVIS,OPTICA,787-369-9047,,13 CALLE MUNOZ RIVERA,FLORIDA,PUERTO RICO,01/28/2024
1405,001,CENTRO,,VISUAL MOROVIS,OPTICA,787-377-7319,,37 CARR 140,BARCELONETA,PUERTO RICO,01/28/2024
1406,001,CENTRO,,VISUAL MOROVIS,OPTICA,787-862-3278,,AVE BUENA VISTA #26,MOROVIS,PUERTO RICO,01/28/2024
1407,001,VISTA,,CARE,OPTICA,787-995-2450,,P60 AVE SANTA JUANITAURB SANTA JUANITA,BAYAMON,PUERTO RICO,01/28/2024
1408,001,IVONNE,,ACEVEDO GERENA,OPTOMETRIA,787-487-1305,,1429 AVE FERNANDEZ JUNCOSPRIMER NIVEL,SANTURCE,PUERTO RICO,01/28/2024
1409,001,IVONNE,,ACEVEDO GERENA,OPTOMETRIA,787-268-4171,,AVENIDA BORINQUEN 2020,SAN JUAN,PUERTO RICO,01/28/2024
1410,001,IVONNE,,ACEVEDO GERENA,OPTOMETRIA,787-383-5577,,EDIF METRO OFFICE PARK #3LOCAL 107,GUAYNABO,PUERTO RICO,01/28/2024
1411,001,IVONNE,,ACEVEDO GERENA,OPTOMETRIA,939-235-6763,,HOSPITAL UPR DEP OFTALMOLOGIAAVE 65 INFANTERIA PISO G,CAROLINA,PUERTO RICO,01/28/2024
1412,001,LUIS,,LUGO ORTIZ,OPTOMETRIA,787-765-1915,,500 CARR JOHN WILL HARRIS,BAYAMON,PUERTO RICO,01/28/2024
1413,001,LUIS,,LUGO ORTIZ,OPTOMETRIA,787-739-8182,,AVE EL JIBAROCARR 172 KM 13 5,CIDRA,PUERTO RICO,01/28/2024
1414,001,LUIS,,LUGO ORTIZ,OPTOMETRIA,787-746-6555,,CALLE RAFAEL CORDERO FINAL,CAGUAS,PUERTO RICO,01/28/2024
1415,001,LUIS,,LUGO ORTIZ,OPTOMETRIA,787-837-2225,,CENTRO SAN CRISTOBALCALLE LA CRUZ # 6,JUANA DIAZ,PUERTO RICO,01/28/2024
1416,001,LUIS,,LUGO ORTIZ,OPTOMETRIA,787-977-9542,,METRO CLINICA HOARECALLE HOARE # 900,SANTURCE,PUERTO RICO,01/28/2024
1417,001,JOHANNA,,RAMOS BELEN,OPTOMETRIA,787-834-3510,,CALLE DE DIEGO 109 ESTE,MAYAGUEZ,PUERTO RICO,01/28/2024
1418,001,ANDRE,,LAMOUTTE NEGRONI,OPTOMETRIA,787-720-4544,,URB VILLA CLEMENTINACARR ALEJANDRINO C 8,GUAYNABO,PUERTO RICO,01/28/2024
1419,001,ANDRE,,LAMOUTTE NEGRONI,OPTOMETRIA,787-720-4544,,URB VILLA CLEMENTINACARR ALEJANDRINO C 8,GUAYNABO,PUERTO RICO,01/28/2024
1420,001,HECTOR,,SANTIAGO CHAMORRO,OPTOMETRIA,787-765-1915,,500 CARR JOHN WILL HARRIS,BAYAMON,PUERTO RICO,01/28/2024
1421,001,HECTOR,,SANTIAGO CHAMORRO,OPTOMETRIA,787-739-8182,,AVE EL JIBAROCARR 172 KM 13 5,CIDRA,PUERTO RICO,01/28/2024
1422,001,HECTOR,,SANTIAGO CHAMORRO,OPTOMETRIA,787-746-6555,,CALLE RAFAEL CORDERO FINAL,CAGUAS,PUERTO RICO,01/28/2024
1423,001,HECTOR,,SANTIAGO CHAMORRO,OPTOMETRIA,787-837-2225,,CENTRO SAN CRISTOBALCALLE LA CRUZ # 6,JUANA DIAZ,PUERTO RICO,01/28/2024
1424,001,HECTOR,,SANTIAGO CHAMORRO,OPTOMETRIA,787-977-9542,,METRO CLINICA HOARECALLE HOARE # 900,SANTURCE,PUERTO RICO,01/28/2024
1425,001,OPTICAL,,ILLUSION,OPTICA,787-848-2394,,CALLE CENTRAL 85 LOCAL 1,COTO LAUREL,PUERTO RICO,01/28/2024
1426,001,RAYMOND,,RODRIGUEZ MORALES,OPTOMETRIA,787-855-1414,,CARR PR 2 KM 42 3BO ALGARROBO,VEGA BAJA,PUERTO RICO,01/28/2024
1427,001,RAYMOND,,RODRIGUEZ MORALES,OPTOMETRIA,787-883-1414,,CENTRO GRAN CARIBESUITE 125,VEGA ALTA,PUERTO RICO,01/28/2024
1428,001,RAYMOND,,RODRIGUEZ MORALES,OPTOMETRIA,787-755-1414,,GALERIA PASEOS MALL STE 116AVENIDA LAS CUMBRES,SAN JUAN,PUERTO RICO,01/28/2024
1429,001,LESLIE,,GARCIA RIVERA,OPTOMETRIA,787-735-1974,,CALLE BALDORIOTY NORTE 165EDIFICIO CENTRAL OFICINA 4,AIBONITO,PUERTO RICO,01/28/2024
1430,001,LESLIE,,GARCIA RIVERA,OPTOMETRIA,787-735-1974,,CALLE BALDORIOTY NORTE 165EDIFICIO CENTRAL OFICINA 4,AIBONITO,PUERTO RICO,01/28/2024
1431,001,WENDY,,NAZARIO ORTIZ,OPTOMETRIA,787-899-1800,,CALLE JOSE M TORO BASORA #4,LAJAS,PUERTO RICO,01/28/2024
1432,001,WENDY,,NAZARIO ORTIZ,OPTOMETRIA,787-873-7672,,PLAZA ISABELLA LOCAL 3BO RINCON MACHUCAL,SABANA GRANDE,PUERTO RICO,01/28/2024
1433,001,IRASEMA,,LABOY SAN MIGUEL,,787-230-8853,,# 22 CALLE CELIS AGUILERA,SANTA ISABEL,PUERTO RICO,01/28/2024
1434,001,IRASEMA,,LABOY SAN MIGUEL,,787-991-5067,,# 52 CALLE RAFAEL LASA,AGUAS BUENAS,PUERTO RICO,01/28/2024
1435,001,IRASEMA,,LABOY SAN MIGUEL,,787-714-4550,,# 55 CALLE JOSE DE DIEGO,CIDRA,PUERTO RICO,01/28/2024
1436,001,IRASEMA,,LABOY SAN MIGUEL,TECNICO EN OPTOMETRIA,787-230-8853,,# 22 CALLE CELIS AGUILERA,SANTA ISABEL,PUERTO RICO,01/28/2024
1437,001,IRASEMA,,LABOY SAN MIGUEL,TECNICO EN OPTOMETRIA,787-991-5067,,# 52 CALLE RAFAEL LASA,AGUAS BUENAS,PUERTO RICO,01/28/2024
1438,001,IRASEMA,,LABOY SAN MIGUEL,TECNICO EN OPTOMETRIA,787-714-4550,,# 55 CALLE JOSE DE DIEGO,CIDRA,PUERTO RICO,01/28/2024
1439,001,GIOVANNI,,RIVERA MATEO,,787-268-4171,,AVENIDA BORINQUEN 2020,SAN JUAN,PUERTO RICO,01/28/2024
1440,001,GIOVANNI,,RIVERA MATEO,,787-468-2000,,CALLE BENITEZ GUZMAN # 47BO PUEBLO ISABEL II,VIEQUES,PUERTO RICO,01/28/2024
1441,001,GIOVANNI,,RIVERA MATEO,,787-468-2966,,CALLE PEDRO MARQUEZ # 44,CULEBRA,PUERTO RICO,01/28/2024
1442,001,GIOVANNI,,RIVERA MATEO,TECNICO EN OPTOMETRIA,787-268-4171,,AVENIDA BORINQUEN 2020,SAN JUAN,PUERTO RICO,01/28/2024
